index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
10,nusaparagraph_emot_bug_nusantara_text,1,eng,0.19,0.19,0.19,0.19,0.42103526853445133,0.23445646773212772,0.16317506482623376,0.5937195692687683,0.19,0.18356417301840555
11,nusaparagraph_emot_bug_nusantara_text,2,eng,0.17,0.17,0.17,0.17,0.4832608551820374,0.2075835304333379,0.14386630422371854,0.6179824709135053,0.17,0.17694147155669052
12,nusaparagraph_emot_jav_nusantara_text,0,eng,0.62375,0.62375,0.62375,0.62375,0.680643708213358,0.6363928458780871,0.6222556681472764,0.7133944909940313,0.62375,0.6331837104154673
13,nusaparagraph_emot_jav_nusantara_text,1,eng,0.5925,0.5925,0.5925,0.5925,0.7023484012832624,0.623201778846961,0.6138807748535412,0.7432220620668647,0.5925,0.6131968514552198
14,nusaparagraph_emot_jav_nusantara_text,2,eng,0.52375,0.52375,0.52375,0.52375,0.7710764080233956,0.5236103463431793,0.5503437249515505,0.7948146964561532,0.52375,0.5729640370278626
15,nusaparagraph_emot_mad_nusantara_text,0,eng,0.288,0.288,0.288,0.288,0.5432462060369028,0.365378569761105,0.2814305708916366,0.6387884507523467,0.288,0.35204557079726173
16,nusaparagraph_emot_mad_nusantara_text,1,eng,0.218,0.218,0.218,0.218,0.6064754026521307,0.31954903844256205,0.2504913621399618,0.7340233744156573,0.218,0.29186764550016003
17,nusaparagraph_emot_mad_nusantara_text,2,eng,0.13,0.13,0.13,0.13,0.6199633949259136,0.24036436262019745,0.16710523979069797,0.739653509608832,0.13,0.20907773099198973
18,nusaparagraph_emot_mak_nusantara_text,0,eng,0.282,0.282,0.282,0.282,0.5626614025892047,0.3129148487922916,0.27824670873618157,0.6039541799818517,0.282,0.31847501621203134
19,nusaparagraph_emot_mak_nusantara_text,1,eng,0.206,0.206,0.206,0.206,0.509360698502698,0.25908978781154,0.21789574021540845,0.5838700753217155,0.206,0.2387929430718557
20,nusaparagraph_emot_mak_nusantara_text,2,eng,0.182,0.182,0.182,0.182,0.6536201615148984,0.2467386632713418,0.19696122059990465,0.6981120857699805,0.182,0.22296223472479854
21,nusaparagraph_emot_min_nusantara_text,0,eng,0.605,0.605,0.605,0.605,0.6785054951783661,0.6196936874227579,0.5744747950579773,0.7337483053817132,0.605,0.6002134839878691
22,nusaparagraph_emot_min_nusantara_text,1,eng,0.55375,0.55375,0.55375,0.55375,0.6926097367674581,0.5962730936055348,0.5722110481349357,0.7406287041651874,0.55375,0.5711131402279906
23,nusaparagraph_emot_min_nusantara_text,2,eng,0.5725,0.5725,0.5725,0.5725,0.7674320456227679,0.5874748379703826,0.5808517389700316,0.8060455370613013,0.5725,0.599145594511294
24,nusaparagraph_emot_mui_nusantara_text,0,eng,0.7525,0.7525,0.7525,0.7525,0.7725042352568007,0.7943423794268515,0.7438388159499633,0.8336008112817921,0.7525,0.7705971874652313
25,nusaparagraph_emot_mui_nusantara_text,1,eng,0.6525,0.6525,0.6525,0.6525,0.7434947698584266,0.7474213393358528,0.6795464191018906,0.807149430546473,0.6525,0.6731802973405331
26,nusaparagraph_emot_mui_nusantara_text,2,eng,0.68,0.68,0.68,0.68,0.793893798169786,0.7227220958502288,0.6963450354696262,0.8575690313085709,0.68,0.73440119318585
27,nusaparagraph_emot_rej_nusantara_text,0,eng,0.42333333333333334,0.42333333333333334,0.42333333333333334,0.42333333333333334,0.5775127513861934,0.38433935219795956,0.3144889681105716,0.6475030499862714,0.42333333333333334,0.393413556117967
28,nusaparagraph_emot_rej_nusantara_text,1,eng,0.33,0.33,0.33,0.33,0.5662088229946612,0.31977821883263974,0.25412987300551454,0.665143430136141,0.33,0.3191665281231192
29,nusaparagraph_emot_rej_nusantara_text,2,eng,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.539209538673058,0.285939167903356,0.23495054332946924,0.6526633827545845,0.2833333333333333,0.2982205985698342
30,nusaparagraph_emot_sun_nusantara_text,0,eng,0.675,0.675,0.675,0.675,0.6876047707336052,0.664226316181928,0.6506447540875407,0.7127930733822221,0.675,0.6712257952225851
31,nusaparagraph_emot_sun_nusantara_text,1,eng,0.6275,0.6275,0.6275,0.6275,0.7012144105632162,0.6392284293412617,0.6325242950742422,0.7341131010258728,0.6275,0.6436978111372946
32,nusaparagraph_emot_sun_nusantara_text,2,eng,0.6125,0.6125,0.6125,0.6125,0.7588086064959765,0.5924540011663356,0.6008345543690565,0.7778111013348976,0.6125,0.630135462505194
33,nusaparagraph_rhetoric_btk_nusantara_text,0,eng,0.255,0.255,0.255,0.255,0.20815340525877538,0.23637716574960513,0.18683601773612912,0.21467890849436919,0.255,0.19833512781067733
34,nusaparagraph_rhetoric_btk_nusantara_text,1,eng,0.24,0.24,0.24,0.24,0.3903495189550982,0.21995057895827194,0.14826954071137283,0.3787585182362777,0.24,0.15854496809520122
35,nusaparagraph_rhetoric_btk_nusantara_text,2,eng,0.25083333333333335,0.25083333333333335,0.25083333333333335,0.25083333333333335,0.2257254835462253,0.2319562515827709,0.16977582437780855,0.23075282846045814,0.25083333333333335,0.18090547267131907
36,nusaparagraph_rhetoric_bew_nusantara_text,0,eng,0.3125,0.3125,0.3125,0.3125,0.2716526170720619,0.3020590000478062,0.2532390251984834,0.2749347445473731,0.3125,0.25931252450328984
37,nusaparagraph_rhetoric_bew_nusantara_text,1,eng,0.257,0.257,0.257,0.257,0.4623814431514006,0.2419625102815936,0.15553115875178508,0.46414961065544436,0.257,0.16066768356120967
38,nusaparagraph_rhetoric_bew_nusantara_text,2,eng,0.2945,0.2945,0.2945,0.2945,0.3396442566277754,0.28330848883049126,0.2096947948934007,0.3425254121717969,0.2945,0.21524949278172092
39,nusaparagraph_rhetoric_bug_nusantara_text,0,eng,0.3675,0.3675,0.3675,0.3675,0.3366636957813428,0.3707140256903635,0.31038822770412466,0.3476421197266786,0.3675,0.3148168632256414
40,nusaparagraph_rhetoric_bug_nusantara_text,1,eng,0.28,0.28,0.28,0.28,0.36839187030679127,0.28725407737511854,0.18570703996849172,0.3785434873409587,0.28,0.18104573853456501
41,nusaparagraph_rhetoric_bug_nusantara_text,2,eng,0.3075,0.3075,0.3075,0.3075,0.2978061802001993,0.31670231661312837,0.24046140050542103,0.3078525835380707,0.3075,0.23848412407271544
42,nusaparagraph_rhetoric_jav_nusantara_text,0,eng,0.439,0.439,0.439,0.439,0.3489128507790856,0.4441460360532705,0.3767903670832963,0.34335961927959163,0.439,0.37172255565101925
43,nusaparagraph_rhetoric_jav_nusantara_text,1,eng,0.3115,0.3115,0.3115,0.3115,0.536972034824885,0.3071493291454173,0.23199586966607372,0.5444691369260255,0.3115,0.22890107996009626
