index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
19,nusaparagraph_emot_mak_nusantara_text,1,eng,0.17,0.17,0.17,0.17,0.3325792460912401,0.16969556265330912,0.08235600827097225,0.41223894302848574,0.17,0.0907804622299323
20,nusaparagraph_emot_mak_nusantara_text,2,eng,0.176,0.176,0.176,0.176,0.2835734647483646,0.17918849470594725,0.11215139372283134,0.34915925137420467,0.176,0.11534376579874606
21,nusaparagraph_emot_min_nusantara_text,0,eng,0.1675,0.1675,0.1675,0.1675,0.33543837115265684,0.24558247995078913,0.14949688102473918,0.2692712912087912,0.1675,0.11813317312072188
22,nusaparagraph_emot_min_nusantara_text,1,eng,0.19,0.19,0.19,0.19,0.4002258575199888,0.27644719759689,0.17410389052348443,0.323389330146729,0.19,0.13607296335901717
23,nusaparagraph_emot_min_nusantara_text,2,eng,0.23625,0.23625,0.23625,0.23625,0.3587924235523524,0.3348963364594203,0.23093008040893664,0.29075595471731364,0.23625,0.17845837228208775
24,nusaparagraph_emot_mui_nusantara_text,0,eng,0.2825,0.2825,0.2825,0.2825,0.3795745599827232,0.2723102272356981,0.2079493245147777,0.3851774754346182,0.2825,0.21203830219185982
25,nusaparagraph_emot_mui_nusantara_text,1,eng,0.325,0.325,0.325,0.325,0.41534851439602377,0.33655128966187847,0.28183593763223347,0.39072203184574056,0.325,0.2611044427025466
26,nusaparagraph_emot_mui_nusantara_text,2,eng,0.3875,0.3875,0.3875,0.3875,0.3917054261092346,0.42056620730269245,0.32668478919849375,0.38123467793354393,0.3875,0.30845132803593467
27,nusaparagraph_emot_rej_nusantara_text,0,eng,0.15333333333333332,0.15333333333333332,0.15333333333333332,0.15333333333333332,0.09134283658998488,0.1889400921658986,0.08342445712687928,0.12027951906278903,0.15333333333333332,0.09909568580848858
28,nusaparagraph_emot_rej_nusantara_text,1,eng,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.26589268567572877,0.22003426680846036,0.13298956582933313,0.3559318852239206,0.21666666666666667,0.16568650617830946
29,nusaparagraph_emot_rej_nusantara_text,2,eng,0.24,0.24,0.24,0.24,0.27821483714432765,0.25100806451612906,0.1605006820808588,0.2693806827929319,0.24,0.18230346524040034
30,nusaparagraph_emot_sun_nusantara_text,0,eng,0.2325,0.2325,0.2325,0.2325,0.45989531280901835,0.27850568030011486,0.20485041615113714,0.47902211813567147,0.2325,0.17958519913345453
31,nusaparagraph_emot_sun_nusantara_text,1,eng,0.24375,0.24375,0.24375,0.24375,0.4855452744478073,0.29376498669416645,0.22140012362121514,0.4339619611048644,0.24375,0.1909180390315123
32,nusaparagraph_emot_sun_nusantara_text,2,eng,0.2625,0.2625,0.2625,0.2625,0.45855212429186887,0.3137455333507712,0.25271326553956397,0.4106339744734504,0.2625,0.21804017081170357
33,nusaparagraph_rhetoric_btk_nusantara_text,0,eng,0.24416666666666667,0.24416666666666667,0.24416666666666667,0.24416666666666667,0.17743569598729492,0.2231073085407232,0.13863501009607918,0.18541393022122582,0.24416666666666667,0.15149786687968284
34,nusaparagraph_rhetoric_btk_nusantara_text,1,eng,0.22333333333333333,0.22333333333333333,0.22333333333333333,0.22333333333333333,0.12274454230966361,0.20348796806050867,0.1284170259704135,0.13045719656666033,0.22333333333333333,0.13849823323989258
35,nusaparagraph_rhetoric_btk_nusantara_text,2,eng,0.20916666666666667,0.20916666666666667,0.20916666666666667,0.20916666666666667,0.12420656668393168,0.1981725941288742,0.11926720773209595,0.13107630507562365,0.20916666666666667,0.12528366575756428
36,nusaparagraph_rhetoric_bew_nusantara_text,0,eng,0.253,0.253,0.253,0.253,0.4212386768970207,0.24443993822957708,0.15357675803036996,0.43015973915163336,0.253,0.16164294227469791
