index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
11,nusatranslation_mt_abs_ind_nusantara_t2t,20.001644701440643,22.59127004630007,47.05485269845917,43.45614372091112,21.001590434858795,41.45229762287551,41.55685933415862,20.001644701440643,22.59127004630007,47.05485269845917,43.463898122033434,21.086326985611084,41.50095863267475,41.52693383996734,0
12,nusatranslation_mt_btk_ind_nusantara_t2t,16.31145289307342,18.622613867440368,40.06737096896714,34.72900076187172,15.895283783599364,32.59585885765192,32.62746956844397,16.311458133516705,18.622613867440368,40.067437581438156,34.730267080689934,15.876494425380072,32.61955494192459,32.63567157273666,0
13,nusatranslation_mt_bew_ind_nusantara_t2t,26.69553311074198,29.325069454241863,56.233350597098855,51.83577388424361,29.490388823133827,50.75227789692385,50.78529943086849,26.715078411143573,29.344786985725605,56.246277365140905,51.87227389231015,29.483585394716872,50.830907069383336,50.81132310364911,0
14,nusatranslation_mt_jav_ind_nusantara_t2t,23.00671529510094,25.620790651659878,50.4877150680057,47.30702131668887,24.926481430714233,45.79249421672241,45.73764312669944,23.00671529510094,25.621378426502503,50.48809759567538,47.30225974930345,24.936775388337274,45.74277579506912,45.75450727396143,0
15,nusatranslation_mt_mad_ind_nusantara_t2t,15.184577716800648,17.649290695816717,38.307994107197985,32.02238467555674,13.728631773747374,29.866722410347318,29.859524168305608,15.184577716800648,17.649290695816717,38.307994107197985,32.029596686946405,13.716039425497367,29.862959082826045,29.85467584716379,0
16,nusatranslation_mt_mak_ind_nusantara_t2t,11.88776864813425,14.04738505049513,31.94647815269183,23.610650185512956,9.779693550405105,21.781746554951113,21.83092924722826,11.912264700654417,14.098114781956198,31.958273102296285,23.610567822837,9.775832137289793,21.784457470062023,21.78884286392428,0
17,nusatranslation_mt_min_ind_nusantara_t2t,25.45508683888703,27.72862458774598,52.73664400791213,49.71839611124413,27.7250448321686,48.32570430152946,48.327042470755586,25.454473863286363,27.728584759109822,52.73640048523992,49.71598217601561,27.721851441571584,48.34827742853275,48.371144970971244,0
18,nusatranslation_mt_mui_ind_nusantara_t2t,22.99096222750503,25.44953344938503,54.89931398439881,52.735651006615655,28.977248808593615,50.549722260793075,50.57093766251495,22.99096222750503,25.44953344938503,54.89931398439881,52.703823292717274,28.836786855269242,50.5886883580958,50.56363092743275,0
19,nusatranslation_mt_rej_ind_nusantara_t2t,14.447419023169475,16.61103916788325,36.70840157621286,30.48864264863218,13.242325196657955,28.4168137101102,28.443699340243068,14.447419023169475,16.61103916788325,36.72713722819919,30.504089601482566,13.270257625177562,28.549939304330163,28.51983481144037,0
20,nusatranslation_mt_sun_ind_nusantara_t2t,22.05388221837905,24.677314365864177,48.87025100393785,45.481757310596024,23.620139363897703,43.80693329959027,43.796679982922086,22.055542356607134,24.67729310999674,48.87032934573373,45.477664503010324,23.59654875991784,43.82416145936096,43.77572233575323,0
21,nusax_mt_ace_ind_nusantara_t2t,8.794521741218588,8.892672419703548,39.83447079233402,37.15173038485022,14.996259184947059,33.66545152867755,33.701533418342734,8.794521741218588,8.892672419703548,39.83447079233402,37.17694107483768,14.96420543892235,33.6744069645352,33.688399381487024,0
22,nusax_mt_ban_ind_nusantara_t2t,12.003471456111251,12.158111269990954,44.644767445531386,42.480386923918836,17.68627174546117,38.57358191465696,38.612724659394786,12.004127616578133,12.15877270193693,44.64604824661382,42.482570694674656,17.630160035734534,38.648643079579756,38.66052940221921,0
23,nusax_mt_bjn_ind_nusantara_t2t,20.20412872704382,20.29644758390853,52.30920553452357,52.636774880388494,27.44171456507204,49.64836609786135,49.64571041744259,20.20412872704382,20.29644758390853,52.30920553452357,52.537064506386066,27.42460193204672,49.618955141984124,49.68624205838542,0
24,nusax_mt_bug_ind_nusantara_t2t,1.951029059805691,2.062650472264861,29.85511396682775,21.296961680024385,5.224740597054143,17.643420751289007,17.667654776478248,1.951029059805691,2.062650472264861,29.85511396682775,21.29203634747846,5.225163260962957,17.643086343782066,17.670573741069713,0
25,nusax_mt_eng_ind_nusantara_t2t,16.25380045434178,16.319447631590283,52.18144691875424,52.91716466691122,26.926153873089092,49.33191169033832,49.28477298268833,16.25380045434178,16.31794721655252,52.181644091956706,52.95216593469701,26.88766685599065,49.33391750199598,49.31068829500474,0
26,nusax_mt_ind_ace_nusantara_t2t,2.147739213064593,2.2670666604084064,26.3911235199901,13.08069715694444,3.258434021332457,12.634371776145048,12.656898017138202,2.1517366110734857,2.2704882017268933,26.626394508473034,13.240471307788198,3.284979598362124,12.82951444690941,12.852857496055714,0
27,nusax_mt_ind_ban_nusantara_t2t,3.7318353629130234,3.895022149027161,33.00591368274222,21.626250392306467,6.369377674497986,21.061322867615523,21.00807122561089,3.7956463712455992,3.9580785485458656,33.16057720467053,21.824367340170372,6.513490145923498,21.249898388457115,21.27390003707198,0
28,nusax_mt_ind_bjn_nusantara_t2t,5.236774982675034,5.362384901377457,37.62662244756868,26.489406454627417,8.494425281979819,25.756044315586575,25.78350012371758,5.245973080697332,5.3716963300938625,37.73119511163624,26.521897343601303,8.534922710521405,25.92054841111087,25.79530856713478,0
29,nusax_mt_ind_bug_nusantara_t2t,1.2471475239121388,1.4603833126947088,22.899236146487123,12.154717621267718,2.697486058502534,11.62354298818416,11.607139276060858,1.2551254846745659,1.4671341017160189,23.266666064348083,12.318005449768881,2.7607068364418152,11.780328254861248,11.760572569915054,0
30,nusax_mt_ind_eng_nusantara_t2t,22.108669369921348,21.245258252859752,49.438963352500664,54.85413944665668,28.654923129892108,49.6663568309624,49.75970797384509,22.10806618774631,21.245258252859752,49.438963352500664,54.87526901043207,28.688242350641445,49.60628999690158,49.68378500917643,0
31,nusax_mt_ind_jav_nusantara_t2t,6.91908161007969,7.017082579471895,37.45678235154614,30.96406440322491,10.2345781286559,29.40525244166633,29.377500234475878,7.075539772915689,7.172934573896864,37.69552673343977,31.410819349208452,10.450109264483414,29.790658393407316,29.734657047104484,0
32,nusax_mt_ind_mad_nusantara_t2t,1.7843847395036285,2.033366596364799,26.471285690541986,14.471376837060767,3.2910520928958964,14.201086754307141,14.191484087021887,1.8088326805891823,2.0540166758375404,27.544116079104995,14.81284223406428,3.3742894688917264,14.529240960737768,14.560243072784651,0
33,nusax_mt_ind_min_nusantara_t2t,6.309604133634718,6.419333885661602,41.130818022974246,30.094225201430945,9.908489662495874,29.124501493326726,29.154513218882087,6.412831004503511,6.521660354852511,41.17585172802712,30.243667142090647,10.003674367262699,29.330755376175745,29.25952904094371,0
34,nusax_mt_ind_nij_nusantara_t2t,1.3833417072501666,1.8233400599699805,27.184278648247645,15.899412403448698,3.861146006481083,15.652455122181586,15.704560650604641,1.3856488255777513,1.8608961931033305,27.208542766876015,15.937774914790365,3.883806207217734,15.680948452266119,15.684159231602607,0
35,nusax_mt_ind_sun_nusantara_t2t,5.032639531905534,5.161962856175142,33.42590776413412,25.29969503993112,8.019706863191962,23.919491880966255,23.937371087701138,5.113287459664841,5.240214686565755,33.58029703323784,25.533074420905034,8.110140679744287,24.126666193937933,24.169682973420404,0
36,nusax_mt_ind_bbc_nusantara_t2t,1.4158584846047155,1.5955477096854855,24.56947365107015,15.363823145858804,3.239039130879018,13.728966829893386,13.751936139810034,1.4232376164209222,1.6030764391529597,24.580373010518226,15.391821267896525,3.260266782245988,13.746249038369388,13.725633916620286,0
37,nusax_mt_jav_ind_nusantara_t2t,25.710927859424558,25.845732569780278,57.74524661502048,58.71927184051645,34.11084195881086,56.27516416412821,56.29627126916419,25.710927859424558,25.845732569780278,57.74524661502048,58.733325873434836,33.99397434382204,56.27956474873146,56.311184553504525,0
38,nusax_mt_mad_ind_nusantara_t2t,7.372458468571718,7.5387956442718025,37.72160122218556,32.54493208572351,11.8372348864911,29.429790207195815,29.4439092218433,7.372458468571718,7.5387956442718025,37.72160122218556,32.623350996591114,11.761188248322544,29.46451407300153,29.452901892334975,0
39,nusax_mt_min_ind_nusantara_t2t,27.881281022234788,28.02868024461432,58.31972225207803,58.20287613701285,34.60624794976092,56.121534646164875,56.21721610003719,27.881281022234788,28.02868024461432,58.31972225207803,58.20729424985564,34.6169444489718,56.199180882831044,56.12783225121789,0
40,nusax_mt_nij_ind_nusantara_t2t,6.965553184313842,7.09338122259309,38.681287093523785,33.39349299556764,10.970595930403142,29.567358031548906,29.531650664918295,6.965553184313842,7.09338122259309,38.681287093523785,33.42891946206086,10.961832613802493,29.557383143047417,29.559365041549736,0
41,nusax_mt_sun_ind_nusantara_t2t,17.375344211567555,17.55096408366923,49.281124899910466,48.898815280711574,24.064747512482125,45.81413410719642,45.791688085870774,17.375344211567555,17.55096408366923,49.281124899910466,48.92422761011102,24.109352063398116,45.845753423891956,45.76445515081841,0
42,nusax_mt_bbc_ind_nusantara_t2t,4.664692006730452,4.847667358112733,33.764493500400974,30.04109462876793,9.900294638086498,26.1907287221118,26.269473275664414,4.664692006730452,4.847667358112733,33.764493500400974,30.068258386863167,9.867322564179984,26.22515540372704,26.18374108706938,0
43,tydiqa_id_nusantara_qa,72.98324310598615,72.91626129826844,78.2120274877524,80.72204385572633,56.72358563671816,80.5949516237774,80.59251494655365,71.69727674861386,71.85382725341495,77.81281382256596,79.3223666637966,54.51996803623042,79.28369201289559,79.32654650330588,0
